PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Greystone Woods,White,2020-08-31 15:50,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-31 15:50,68,10,3,4,5,4,3,3,3,3,2,4,5,5,3,5,3,4,4,5
Carolann,Greystone Woods,White,2020-08-31 15:50,77,19,3,7,6,5,5,4,3,3,5,3,5,4,4,5,3,4,4,4
Par,Greystone Woods,White,2020-08-30 16:05,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-08-30 16:05,62,4,3,4,5,4,3,4,4,2,4,3,5,3,3,5,1,3,3,3
Alex,Greystone Woods,White,2020-08-30 16:05,66,8,4,5,5,5,3,3,3,3,4,3,5,3,3,4,3,3,4,3
Par,Greystone Woods,White,2020-08-29 17:22,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-29 17:22,70,12,3,4,6,4,4,3,3,3,4,4,4,4,4,6,4,4,3,3
Carolann,Greystone Woods,White,2020-08-29 17:22,78,20,4,6,6,5,4,4,4,5,4,4,5,4,4,5,3,4,3,4
Par,Doc Cramer,Main,2020-08-25 11:51,60,,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,5,4,4
Justin,Doc Cramer,Main,2020-08-25 11:51,66,6,3,3,4,2,3,3,3,5,4,4,4,4,3,3,3,7,4,4
Alex,Doc Cramer,Main,2020-08-25 11:51,80,20,4,6,4,2,3,4,4,6,4,5,4,4,4,3,4,9,5,5
Carolann,Doc Cramer,Main,2020-08-25 11:51,92,32,5,6,5,3,4,5,5,7,5,5,4,5,4,4,4,9,5,7
Leah,Doc Cramer,Main,2020-08-25 11:51,103,43,5,6,4,3,4,6,6,8,6,7,5,5,6,4,5,9,7,7
John,Doc Cramer,Main,2020-08-25 11:51,97,37,4,6,5,3,4,5,5,7,7,6,4,4,5,6,7,8,6,5
